> Miller, K.G. et al, 2024. Global mean and relative sea-level changes over the past 66 Myr: implications for early Eocene ice sheets. Earth Science, Systems and Society, 4(1), p.10091.
> Age (Ma)	sea level (m)
1.0963872	-48.94617278
1.0985085	-50.49287427
1.10043	-37.46709013
1.1021387	-28.09851494
1.1051293	-33.29382721
1.1066246	-24.46086657
1.1081199	-27.57713768
1.1095844	-29.13374322
1.1113843	-43.65514611
1.1132631	-45.20106393
1.1150441	-49.33634368
1.1174689	-50.87417435
1.1197811	-58.10189436
1.1224419	-51.87560825
1.1250839	-54.95774433
1.1273957	-50.81108965
1.1297092	-44.09033817
1.1317945	-51.81676761
1.1341099	-35.82833708
1.1359593	-30.67490609
1.1380399	-29.13044695
1.1403504	-27.0734394
1.1426611	-27.59009784
1.1449299	-35.30089025
1.1473081	-26.05411627
1.1494701	-22.97731368
1.1518479	-13.74778185
1.1540088	-16.8344022
1.1559539	-17.86709093
1.1581159	-27.60954586
1.1602049	-21.97966981
1.162904	-9.70405836
1.1656051	-22.50719273
1.1683116	-23.02656361
1.1718549	-7.710477142
1.1752313	-11.30473395
1.1786049	-30.20205996
1.1819828	-18.48059808
1.1858055	-38.8810829
1.1896686	-41.43150683
1.1935309	-40.41712221
1.1973916	-38.38760278
1.2011117	-26.70147303
1.2044272	-41.95876646
1.2077358	-37.9014539
1.2117201	-42.48107147
1.2158709	-34.3719193
1.2200136	-21.70697766
1.2245135	-21.73026154
1.2280775	-10.60075066
1.2316425	-21.26208727
1.2352076	-7.609172068
1.2385602	-8.645076974
1.2410838	-24.85910745
1.2434172	-36.51128803
1.2455562	-54.735946
1.2467106	-47.15128198
1.2474023	-56.26004116
1.2479131	-52.72073915
1.2485941	-62.84003216
1.2497903	-59.80886537
1.251585	-46.16040069
1.2536952	-48.69813995
1.2561437	-44.66454417
1.2580303	-43.15723561
1.2614121	-38.62597226
1.2654804	-32.58545619
1.2693929	-28.06302974
1.2731283	-26.06719149
1.2771582	-22.05490098
1.2799119	-17.53049045
1.2819273	-24.1079293
1.2840082	-27.15122476
1.2859069	-35.23999936
1.2876996	-46.35490502
1.2894918	-51.41242219
1.2912835	-47.89119767
1.2930525	-46.89327997
1.2947143	-44.88581839
1.295876	-43.88447434
1.2975329	-46.92231163
1.298527	-51.46882833
1.2996868	-38.36131962
1.3008467	-39.37824635
1.3026688	-40.39974718
1.3046561	-36.37905635
1.3071474	-30.85009026
1.3096362	-23.3052858
1.3118169	-22.31403553
1.3134787	-18.79806914
1.315133	-23.85266302
1.3163173	-16.30047388
1.3181517	-25.89298626
1.3195322	-34.47274239
1.320756	-41.03449136
1.3224694	-41.04728164
1.3241828	-41.56404656
1.3260072	-39.05804534
1.328767	-42.10246572
1.3318197	-41.11794354
1.3351822	-38.62477157
1.3430827	-33.14657432
1.3457331	-28.63556431
1.3485407	-13.55216268
1.3508287	-11.05476759
1.3526533	-8.050206928
1.3551673	-4.548917531
1.3574526	-18.16175661
1.3596544	-21.45284814
1.3624978	-29.78202534
1.3655926	-36.85335961
1.3679032	-45.42653587
1.3704932	-44.94353288
1.3751171	-39.9490337
1.3775923	-43.48985926
1.379907	-38.47843839
1.3821302	-39.50213312
1.3849922	-26.95395868
1.3878242	-29.99479953
1.3910021	-21.97828633
1.3943587	-11.95543199
1.3971517	-11.47880415
1.3999082	-18.53901627
1.402403	-27.60451548
1.4052611	-35.16334846
1.4083431	-44.2279595
1.4121239	-48.27260238
1.4159807	-47.29556777
1.4191947	-38.78592256
1.4224518	-28.77481751
1.4255297	-27.7963804
1.4286039	-9.264401163
1.431682	-10.29648124
1.4351489	-7.822760703
1.4379433	4.17804365
1.4404075	-2.361861943
1.4428713	3.123466546
1.4455805	1.09138644
1.4486381	-21.47016679
1.4510611	-35.0045293
1.4540479	-50.53648376
1.4573995	-52.05378045
1.4607512	-45.06918224
1.4643412	-36.59139656
1.4673192	-21.62100785
1.4697016	-22.13916862
1.4723896	-22.15990206
1.4748545	-12.1961207
1.4773195	-8.725395159
1.4797844	-3.261824981
1.4823935	-4.784150376
1.4857521	-5.814260368
1.4898305	-32.25090425
1.4947155	-51.18932612
1.5008377	-44.73946281
1.5073754	-38.30241504
1.5119604	-21.94581315
1.5161035	-14.04060177
1.5201432	-21.50360972
1.5239549	-31.42806987
1.5309669	-40.10724427
1.5346242	-55.17851563
1.5382815	-50.238377
1.5415711	-50.23654338
1.5453103	-25.5981702
1.5488269	-27.09167573
1.5520805	-40.6335953
1.5551221	-29.08440954
1.5583961	-26.14894145
1.5616707	-21.74546049
1.5644783	-25.19308846
1.5680902	-29.86334691
1.5706223	-34.52289122
1.5724309	-43.82584682
1.5762677	-42.60037423
1.5789659	-40.39986256
1.5801219	-37.95725617
1.5832449	-27.22042187
1.5840283	-29.66297163
1.589512	-26.26556388
1.5914403	-29.19427724
1.592175	-24.8134721
1.5954852	-23.85240286
1.5991953	-21.4362711
1.6003083	-22.41300344
1.6017924	-21.93341624
1.6028314	-20.96664986
1.6037133	-18.54325352
1.6052	-25.83001434
1.6057947	-22.43548091
1.6072806	-22.92649152
1.6087577	-27.78041157
1.6102444	-26.81498895
1.6111364	-20.51887286
1.6120284	-32.63273351
1.6146941	-29.73172446
1.6176671	-24.17542737
1.6206304	-30.70997432
1.6232972	-29.99002481
1.6263941	-27.34173646
1.6289816	-46.63725698
1.6311995	-19.16088834
1.6327539	-44.70079898
1.6347244	-38.43737171
1.6370891	-51.4291485
1.6394537	-12.2260147
1.6441831	-47.56077954
1.6505393	-48.98353555
1.6599944	-42.2600507
1.6674614	-42.73174513
1.6693119	-43.68512486
1.6702371	-47.50261592
1.6709756	-45.11522625
1.6714755	-40.82018701
1.6722254	-38.4346491
1.6729753	-37.0039333
1.6742251	-26.0370823
1.6787244	-20.33528302
1.6893649	-18.48365202
1.6918312	-9.4707254
1.6929046	-23.72606714
1.6936201	-23.25413964
1.6946944	-28.48092295
1.6954989	-35.60357285
1.69751	-37.97951495
1.6992635	-40.82775277
1.7025804	-36.56467168
1.7090278	-35.63015019
1.7196839	-17.22827032
1.7257737	-29.06438356
1.7277491	-12.55744219
1.7291093	-15.86887007
1.7300162	-30.96816421
1.7313765	-24.84291753
1.7350055	-17.7910854
1.7399958	-19.94059917
1.7440099	-31.49495983
1.747012	-24.45098589
1.7485767	-41.39141096
1.7517748	-28.2374445
1.753679	-22.13679955
1.755826	-26.84784763
1.7584038	-25.92190723
1.7606792	-9.030251289
1.7632028	-12.33542175
1.766103	-16.11031533
1.7685862	-23.16343818
1.7710677	-7.7035701
1.7739628	-9.601631973
1.7767542	-15.24655082
1.7796006	-30.25717685
1.7819266	-30.2697315
1.7837375	-42.45344414
1.7856055	-33.09855733
1.7894846	-31.71505707
1.7932191	-35.47730537
1.7971046	-33.15960139
1.7977623	-31.33541048
1.7991778	-31.34339481
1.8008764	-29.95102294
1.8020087	-21.54655308
1.8032827	-13.61241294
1.8047001	-17.3603892
1.8059761	-20.63925024
1.8073938	-16.91289668
1.8089533	-19.25900912
1.8103696	-14.13340469
1.8134712	-22.55819587
1.8150162	-17.43550003
1.8165625	-34.71030331
1.8179551	-36.11764572
1.8195025	-23.53223104
1.8210499	-16.54722062
1.8227512	-16.0936978
1.8241416	-14.70552719
1.8255321	-8.656220573
1.8272315	0.185040875
1.828622	-13.34210859
1.8300145	-14.28495581
1.8317128	-14.29824568
1.8332279	-20.3654318
1.8347431	-21.77352959
1.8358025	-28.7661831
1.8374665	-17.6025302
1.8380716	-23.65948171
1.8406432	-18.5573864
1.8424601	-18.10561946
1.8439752	-18.58231722
1.8470054	-15.81416778
1.8484016	-9.778960502
1.8496582	-7.464393763
1.8507225	-6.543685044
1.8517326	-13.52648614
1.8527427	-11.67512773
1.8538026	-11.68388793
1.8548625	-14.01654231
1.8559225	-14.95456171
1.8569824	-24.72130235
1.8580423	-34.02129201
1.8592029	-25.66594887
1.8605278	-39.61043063
1.8620365	-41.01205051
1.8636238	-39.627454
